index,value
1956 Jan,1254
1956 Feb,1290
1956 Mar,1379
1956 Apr,1346
1956 May,1535
1956 Jun,1555
1956 Jul,1655
1956 Aug,1651
1956 Sep,1500
1956 Oct,1538
1956 Nov,1486
1956 Dec,1394
1957 Jan,1409
1957 Feb,1387
1957 Mar,1543
1957 Apr,1502
1957 May,1693
1957 Jun,1616
1957 Jul,1841
1957 Aug,1787
1957 Sep,1631
1957 Oct,1649
1957 Nov,1586
1957 Dec,1500
1958 Jan,1497
1958 Feb,1463
1958 Mar,1648
1958 Apr,1595
1958 May,1777
1958 Jun,1824
1958 Jul,1994
1958 Aug,1835
1958 Sep,1787
1958 Oct,1699
1958 Nov,1633
1958 Dec,1645
1959 Jan,1597
1959 Feb,1577
1959 Mar,1709
1959 Apr,1756
1959 May,1936
1959 Jun,2052
1959 Jul,2105
1959 Aug,2016
1959 Sep,1914
1959 Oct,1925
1959 Nov,1824
1959 Dec,1765
1960 Jan,1721
1960 Feb,1752
1960 Mar,1914
1960 Apr,1857
1960 May,2159
1960 Jun,2195
1960 Jul,2287
1960 Aug,2276
1960 Sep,2096
1960 Oct,2055
1960 Nov,2004
1960 Dec,1924
1961 Jan,1851
1961 Feb,1839
1961 Mar,2019
1961 Apr,1937
1961 May,2270
1961 Jun,2251
1961 Jul,2382
1961 Aug,2364
1961 Sep,2129
1961 Oct,2110
1961 Nov,2072
1961 Dec,1980
1962 Jan,1995
1962 Feb,1932
1962 Mar,2171
1962 Apr,2162
1962 May,2489
1962 Jun,2424
1962 Jul,2641
1962 Aug,2630
1962 Sep,2324
1962 Oct,2412
1962 Nov,2284
1962 Dec,2186
1963 Jan,2184
1963 Feb,2144
1963 Mar,2379
1963 Apr,2383
1963 May,2717
1963 Jun,2774
1963 Jul,3051
1963 Aug,2891
1963 Sep,2613
1963 Oct,2600
1963 Nov,2493
1963 Dec,2410
1964 Jan,2390
1964 Feb,2463
1964 Mar,2616
1964 Apr,2734
1964 May,2970
1964 Jun,3125
1964 Jul,3342
1964 Aug,3207
1964 Sep,2964
1964 Oct,2919
1964 Nov,2764
1964 Dec,2732
1965 Jan,2622
1965 Feb,2698
1965 Mar,2950
1965 Apr,2895
1965 May,3200
1965 Jun,3408
1965 Jul,3679
1965 Aug,3473
1965 Sep,3154
1965 Oct,3107
1965 Nov,3052
1965 Dec,2918
1966 Jan,2786
1966 Feb,2739
1966 Mar,3125
1966 Apr,3033
1966 May,3486
1966 Jun,3661
1966 Jul,3927
1966 Aug,3851
1966 Sep,3456
1966 Oct,3390
1966 Nov,3280
1966 Dec,3166
1967 Jan,3080
1967 Feb,3069
1967 Mar,3340
1967 Apr,3310
1967 May,3798
1967 Jun,3883
1967 Jul,4191
1967 Aug,4213
1967 Sep,3766
1967 Oct,3628
1967 Nov,3520
1967 Dec,3322
1968 Jan,3250
1968 Feb,3287
1968 Mar,3552
1968 Apr,3440
1968 May,4153
1968 Jun,4265
1968 Jul,4655
1968 Aug,4492
1968 Sep,4051
1968 Oct,3967
1968 Nov,3807
1968 Dec,3639
1969 Jan,3647
1969 Feb,3560
1969 Mar,3929
1969 Apr,3858
1969 May,4485
1969 Jun,4697
1969 Jul,4977
1969 Aug,4675
1969 Sep,4596
1969 Oct,4491
1969 Nov,4127
1969 Dec,4144
1970 Jan,4014
1970 Feb,3994
1970 Mar,4320
1970 Apr,4400
1970 May,5002
1970 Jun,5091
1970 Jul,5471
1970 Aug,5193
1970 Sep,4997
1970 Oct,4737
1970 Nov,4546
1970 Dec,4498
1971 Jan,4350
1971 Feb,4206
1971 Mar,4743
1971 Apr,4582
1971 May,5191
1971 Jun,5457
1971 Jul,5891
1971 Aug,5618
1971 Sep,5158
1971 Oct,5030
1971 Nov,4800
1971 Dec,4654
1972 Jan,4453
1972 Feb,4440
1972 Mar,4945
1972 Apr,4788
1972 May,5425
1972 Jun,5706
1972 Jul,6061
1972 Aug,5846
1972 Sep,5242
1972 Oct,5408
1972 Nov,5114
1972 Dec,5042
1973 Jan,5008
1973 Feb,4657
1973 Mar,5359
1973 Apr,5193
1973 May,5891
1973 Jun,5980
1973 Jul,6390
1973 Aug,6366
1973 Sep,5756
1973 Oct,5640
1973 Nov,5429
1973 Dec,5398
1974 Jan,5413
1974 Feb,5141
1974 Mar,5695
1974 Apr,5554
1974 May,6369
1974 Jun,6592
1974 Jul,7107
1974 Aug,6917
1974 Sep,6353
1974 Oct,6205
1974 Nov,5830
1974 Dec,5646
1975 Jan,5379
1975 Feb,5489
1975 Mar,5824
1975 Apr,5907
1975 May,6482
1975 Jun,6795
1975 Jul,7028
1975 Aug,6776
1975 Sep,6274
1975 Oct,6362
1975 Nov,5940
1975 Dec,5958
1976 Jan,5769
1976 Feb,5887
1976 Mar,6367
1976 Apr,6165
1976 May,6868
1976 Jun,7201
1976 Jul,7601
1976 Aug,7581
1976 Sep,7090
1976 Oct,6841
1976 Nov,6408
1976 Dec,6435
1977 Jan,6176
1977 Feb,6138
1977 Mar,6717
1977 Apr,6470
1977 May,7312
1977 Jun,7763
1977 Jul,8171
1977 Aug,7788
1977 Sep,7311
1977 Oct,6679
1977 Nov,6704
1977 Dec,6724
1978 Jan,6552
1978 Feb,6427
1978 Mar,7105
1978 Apr,6869
1978 May,7683
1978 Jun,8082
1978 Jul,8555
1978 Aug,8386
1978 Sep,7553
1978 Oct,7398
1978 Nov,7112
1978 Dec,6886
1979 Jan,7077
1979 Feb,6820
1979 Mar,7426
1979 Apr,7143
1979 May,8261
1979 Jun,8240
1979 Jul,8977
1979 Aug,8991
1979 Sep,8026
1979 Oct,7911
1979 Nov,7510
1979 Dec,7381
1980 Jan,7366
1980 Feb,7414
1980 Mar,7824
1980 Apr,7524
1980 May,8279
1980 Jun,8707
1980 Jul,9486
1980 Aug,8973
1980 Sep,8231
1980 Oct,8206
1980 Nov,7927
1980 Dec,7999
1981 Jan,7834
1981 Feb,7521
1981 Mar,8284
1981 Apr,7999
1981 May,8940
1981 Jun,9381
1981 Jul,10078
1981 Aug,9796
1981 Sep,8471
1981 Oct,8572
1981 Nov,8150
1981 Dec,8168
1982 Jan,8166
1982 Feb,7903
1982 Mar,8606
1982 Apr,8071
1982 May,9178
1982 Jun,9873
1982 Jul,10476
1982 Aug,9296
1982 Sep,8818
1982 Oct,8697
1982 Nov,8381
1982 Dec,8293
1983 Jan,7942
1983 Feb,8001
1983 Mar,8744
1983 Apr,8397
1983 May,9115
1983 Jun,9773
1983 Jul,10358
1983 Aug,9849
1983 Sep,9083
1983 Oct,9143
1983 Nov,8800
1983 Dec,8741
1984 Jan,8492
1984 Feb,8795
1984 Mar,9354
1984 Apr,8796
1984 May,10072
1984 Jun,10174
1984 Jul,11326
1984 Aug,10744
1984 Sep,9806
1984 Oct,9740
1984 Nov,9373
1984 Dec,9244
1985 Jan,9407
1985 Feb,8827
1985 Mar,9880
1985 Apr,9364
1985 May,10580
1985 Jun,10899
1985 Jul,11687
1985 Aug,11280
1985 Sep,10208
1985 Oct,10212
1985 Nov,9725
1985 Dec,9721
1986 Jan,9846
1986 Feb,9407
1986 Mar,10265
1986 Apr,9970
1986 May,10801
1986 Jun,11246
1986 Jul,12167
1986 Aug,11578
1986 Sep,10645
1986 Oct,10613
1986 Nov,10104
1986 Dec,10348
1987 Jan,10263
1987 Feb,9973
1987 Mar,10803
1987 Apr,10409
1987 May,11458
1987 Jun,11845
1987 Jul,12559
1987 Aug,12070
1987 Sep,11221
1987 Oct,11338
1987 Nov,10761
1987 Dec,11012
1988 Jan,10923
1988 Feb,10790
1988 Mar,11427
1988 Apr,10788
1988 May,11772
1988 Jun,12104
1988 Jul,12634
1988 Aug,12772
1988 Sep,11764
1988 Oct,11956
1988 Nov,11646
1988 Dec,11750
1989 Jan,11485
1989 Feb,11198
1989 Mar,12265
1989 Apr,11704
1989 May,12419
1989 Jun,13259
1989 Jul,13945
1989 Aug,13839
1989 Sep,12387
1989 Oct,12546
1989 Nov,12038
1989 Dec,11977
1990 Jan,12336
1990 Feb,11793
1990 Mar,12877
1990 Apr,11923
1990 May,13306
1990 Jun,13988
1990 Jul,14002
1990 Aug,14336
1990 Sep,12867
1990 Oct,12721
1990 Nov,12449
1990 Dec,12686
1991 Jan,12810
1991 Feb,12015
1991 Mar,12888
1991 Apr,12431
1991 May,13499
1991 Jun,13014
1991 Jul,14296
1991 Aug,14125
1991 Sep,12817
1991 Oct,12862
1991 Nov,12449
1991 Dec,12489
1992 Jan,12621
1992 Feb,12380
1992 Mar,13023
1992 Apr,12302
1992 May,13339
1992 Jun,13825
1992 Jul,14428
1992 Aug,14151
1992 Sep,13355
1992 Oct,13094
1992 Nov,12656
1992 Dec,12435
1993 Jan,13287
1993 Feb,12434
1993 Mar,13209
1993 Apr,12817
1993 May,13746
1993 Jun,14259
1993 Jul,14590
1993 Aug,14354
1993 Sep,13254
1993 Oct,13464
1993 Nov,13302
1993 Dec,13456
1994 Jan,13171
1994 Feb,12517
1994 Mar,13489
1994 Apr,12509
1994 May,13785
1994 Jun,13921
1994 Jul,14603
1994 Aug,14749
1994 Sep,13540
1994 Oct,13457
1994 Nov,13243
1994 Dec,13590
1995 Jan,13487
1995 Feb,12776
1995 Mar,13812
1995 Apr,13032
1995 May,14268
1995 Jun,14473
1995 Jul,15359
1995 Aug,14457
